%MISS,GETS,NONREC,SLOW,REC,TIER2,TIER3,%UTIL,AVER_HTM,MON-NAME,PATTERN-NAME,PATTERN-NO
3,77796,77796,2018,0,61982420,1896924,99,484343,java/lang/Object@000000060A261730,Hot2,2
3,73161,73161,2260,0,59652812,1826731,99,515373,java/lang/Object@000000060A25B2F8,Hot2,2
4,68707,68707,2834,0,63720192,1955842,99,547316,java/lang/Object@000000060A25AFC0,Hot2,2
3,75964,75964,2221,0,61436292,1881719,99,496400,java/lang/Object@000000060A25B5F0,Hot2,2
5,69896,69896,3723,0,71368846,2193941,99,537829,java/lang/Object@000000060A25B498,Hot2,2
3,76856,76856,2201,0,65424120,2004951,99,490559,java/lang/Object@000000060A2615C8,Hot2,2
5,71461,71461,3497,0,71258610,2189511,99,525883,java/lang/Object@000000060A2614D0,Hot2,2
5,74181,74181,3429,0,74521044,2290620,99,506872,java/lang/Object@000000060A25B558,Hot2,2
4,63772,63772,2380,0,59566647,1828102,99,591223,java/lang/Object@000000060A25B568,Hot2,2
3,71915,71915,2311,0,57452685,1757795,99,523874,java/lang/Object@000000060A25B7B8,Hot2,2
3,62612,62612,2141,0,52930448,1621967,99,601133,java/lang/Object@000000060A25B4D0,Hot2,2
3,78125,78125,2521,0,68158667,2089690,99,482498,java/lang/Object@000000060A25B6F8,Hot2,2
5,67919,67919,3297,0,71874624,2210198,99,554363,java/lang/Object@000000060A2615C8,Hot2,2
4,71524,71524,3127,0,67039531,2057651,99,524764,java/lang/Object@000000060A25B938,Hot2,2
3,79624,79624,2056,0,62379329,1909114,99,474048,java/lang/Object@000000060A25B850,Hot2,2
4,66153,66153,2866,0,66217672,2035006,99,570124,java/lang/Object@000000060A25B4F8,Hot2,2
3,79850,79850,2546,0,75246507,2311219,99,472570,java/lang/Object@000000060A258558,Hot2,2
4,60097,60097,2300,0,54443843,1669782,99,628556,java/lang/Object@000000060A25BAE0,Hot2,2
4,67694,67694,2841,0,59548965,1825572,99,554737,java/lang/Object@000000060A25BA08,Hot2,2
5,68436,68436,3193,0,71067710,2185042,99,549306,java/lang/Object@000000060A2617B8,Hot2,2
3,60284,60284,2004,0,53614607,1644421,99,624026,java/lang/Object@000000060A25E288,Hot2,2
3,64067,64067,2142,0,56903848,1745132,99,589076,java/lang/Object@000000060A25E1C0,Hot2,2
5,62267,62267,3258,0,68474537,2106971,99,603621,java/lang/Object@000000060A25E038,Hot2,2
4,68681,68681,3035,0,70914372,2180419,99,548938,java/lang/Object@000000060A25E648,Hot2,2
4,66261,66261,2865,0,63753623,1958322,99,568908,java/lang/Object@000000060A25E6E0,Hot2,2
4,79073,79073,2945,0,78715099,2419323,99,477173,java/lang/Object@000000060A258FD8,Hot2,2
3,70895,70895,2120,0,55859421,1709309,99,530659,java/lang/Object@000000060A25E890,Hot2,2
5,68330,68330,3251,0,69238760,2128205,99,549239,java/lang/Object@000000060A25E018,Hot2,2
5,70313,70313,3613,0,68997663,2119439,99,536294,java/lang/Object@000000060A25E810,Hot2,2
3,73134,73134,2541,0,60186029,1843188,99,516285,java/lang/Object@000000060A25E350,Hot2,2
3,74432,74432,2532,0,59699212,1827968,99,507182,java/lang/Object@000000060A25E100,Hot2,2
4,70195,70195,2561,0,61394872,1882616,99,537121,java/lang/Object@000000060A25E420,Hot2,2
4,78412,78412,3066,0,76383058,2346206,99,481168,java/lang/Object@000000060A25E230,Hot2,2
5,63898,63898,3334,0,69724987,2145163,99,589433,java/lang/Object@000000060A25E480,Hot2,2
4,67991,67991,3030,0,65792607,2020306,99,553026,java/lang/Object@000000060A261790,Hot2,2
4,65977,65977,2723,0,63830025,1960737,99,571285,java/lang/Object@000000060A25BE60,Hot2,2
3,66087,66087,1677,0,51062447,1561761,99,571594,java/lang/Object@000000060A25E258,Hot2,2
5,64818,64818,2980,0,63746169,1958438,99,581140,java/lang/Object@000000060A25B688,Hot2,2
4,63581,63581,2815,0,61443344,1886640,99,592948,java/lang/Object@000000060A25BDA8,Hot2,2
4,73463,73463,2944,0,68861822,2114205,99,513240,java/lang/Object@000000060A25B860,Hot2,2
3,74662,74662,2113,0,58349881,1786215,99,504717,java/lang/Object@000000060A25E480,Hot2,2
5,67609,67609,3079,0,67596271,2076758,99,556386,java/lang/Object@000000060A25B440,Hot2,2
4,75602,75602,3004,0,73975289,2272740,99,496937,java/lang/Object@000000060A25E4F0,Hot2,2
4,63373,63373,2445,0,58657550,1800099,99,593091,java/lang/Object@000000060A25B920,Hot2,2
3,76778,76778,2231,0,62750851,1922132,99,491138,java/lang/Object@000000060A25B308,Hot2,2
3,68900,68900,2089,0,58122927,1781127,99,546655,java/lang/Object@000000060A25DE38,Hot2,2
4,68682,68682,2468,0,60429925,1852685,99,547782,java/lang/Object@000000060A25BA48,Hot2,2
5,63387,63387,3224,0,69689925,2144341,99,594399,java/lang/Object@000000060A2615C8,Hot2,2
3,73453,73453,2458,0,63459295,1945721,99,512252,java/lang/Object@000000060A261AC0,Hot2,2
3,75728,75728,2389,0,62797994,1924432,99,497854,java/lang/Object@000000060A261600,Hot2,2
4,66072,66072,2611,0,61672598,1893333,99,569373,java/lang/Object@000000060A261860,Hot2,2
5,65039,65039,3050,0,66708999,2050732,99,579277,java/lang/Object@000000060A261688,Hot2,2
4,75299,75299,2853,0,69320381,2128304,99,500594,java/lang/Object@000000060A25E820,Hot2,2
4,59294,59294,2349,0,56928808,1748307,99,635113,java/lang/Object@000000060A25E7E8,Hot2,2
5,60193,60193,2862,0,60776162,1867620,99,627128,java/lang/Object@000000060A25B328,Hot2,2
4,65743,65743,2523,0,59977814,1840411,99,573439,java/lang/Object@000000060A25BD80,Hot2,2
