%MISS,GETS,NONREC,SLOW,REC,TIER2,TIER3,%UTIL,AVER_HTM,MON-NAME
0,152766,152766,148,0,71701872,2166099,100,247711,java/lang/Boolean@000000060A25B530
0,139146,139146,95,0,71079422,2154875,100,272032,java/lang/Boolean@000000060A25E7E8
0,135255,135255,99,0,70971264,2153589,100,279883,java/lang/Boolean@000000060A258948
0,144309,144309,105,0,71853300,2177412,100,262419,java/lang/Boolean@000000060A25B730
0,129804,129804,76,0,70814207,2149844,100,291760,java/lang/Boolean@000000060A25E1F8
0,118416,118416,71,0,69562029,2116515,100,319923,java/lang/Boolean@000000060A2616C0
0,135578,135578,97,0,70757545,2147762,100,279260,java/lang/Boolean@000000060A25B948
0,146060,146060,114,0,68191119,2062605,100,259336,java/lang/Boolean@000000060A25B4C0
0,137266,137266,77,0,71131525,2157044,100,275780,java/lang/Boolean@000000060A25B520
0,120501,120501,62,0,70213626,2137774,100,314364,java/lang/Boolean@000000060A25E328
0,125444,125444,72,0,69691573,2118455,100,301864,java/lang/Boolean@000000060A25B998
0,133509,133509,90,0,71169632,2158225,100,283703,java/lang/Boolean@000000060A258978
0,123621,123621,95,0,70836130,2154272,100,306257,java/lang/Boolean@000000060A25BBF8
0,129665,129665,93,0,71067988,2159157,100,291858,java/lang/Boolean@000000060A25E458
0,127288,127288,74,0,70067895,2129292,100,297552,java/lang/Boolean@000000060A258900
0,125427,125427,49,0,71425932,2172549,100,302075,java/lang/Boolean@000000060A25BD48
0,127627,127627,81,0,70419455,2141452,100,296559,java/lang/Boolean@000000060A258980
0,118459,118459,77,0,70752031,2152995,100,319739,java/lang/Boolean@000000060A25B9C8
0,142452,142452,76,0,71134118,2153464,100,265791,java/lang/Boolean@000000060A25BE08
0,133107,133107,85,0,70605982,2141697,100,284560,java/lang/Boolean@000000060A25E848
0,146126,146126,63,0,70364850,2129082,100,259044,java/lang/Boolean@000000060A261568
0,120902,120902,74,0,70278253,2139969,100,313364,java/lang/Boolean@000000060A25BDA8
0,133861,133861,80,0,70538201,2139678,100,282600,java/lang/Boolean@000000060A25E5B0
0,124807,124807,63,0,69985001,2126177,100,303449,java/lang/Boolean@000000060A25B930
0,151146,151146,91,0,70602224,2130222,100,250465,java/lang/Boolean@000000060A261590
0,120595,120595,67,0,70030913,2130627,100,314100,java/lang/Boolean@000000060A2617A0
0,124050,124050,71,0,70186280,2132836,100,305066,java/lang/Boolean@000000060A25B850
0,125339,125339,71,0,68867014,2093176,100,302063,java/lang/Boolean@000000060A25B548
0,132454,132454,76,0,71511825,2170588,100,286084,java/lang/Boolean@000000060A25BDA8
0,155657,155657,98,0,71378267,2156284,100,243173,java/lang/Boolean@000000060A25E1F8
0,125902,125902,55,0,70541504,2142064,100,300872,java/lang/Boolean@000000060A25DFC0
0,126714,126714,99,0,71240236,2164420,100,298848,java/lang/Boolean@000000060A25BD20
0,122304,122304,59,0,69895310,2126010,100,309440,java/lang/Boolean@000000060A2588E8
0,137497,137497,86,0,70302629,2132391,100,275206,java/lang/Boolean@000000060A25BA78
0,129624,129624,86,0,70509466,2141855,100,292049,java/lang/Boolean@000000060A25E220
0,147110,147110,98,0,71190491,2155562,100,257231,java/lang/Boolean@000000060A25BBF0
0,140533,140533,94,0,70979810,2148642,100,269480,java/lang/Boolean@000000060A25B7B8
0,143795,143795,80,0,71443058,2164724,100,263374,java/lang/Boolean@000000060A25B850
0,137787,137787,70,0,69945264,2120917,100,274808,java/lang/Boolean@000000060A2614C0
0,152696,152696,88,0,70404577,2127203,100,247934,java/lang/Boolean@000000060A25B980
0,128862,128862,87,0,71153794,2166099,100,294006,java/lang/Boolean@000000060A25BE40
0,134161,134161,94,0,70609190,2141287,100,282109,java/lang/Boolean@000000060A2615C8
0,123085,123085,99,0,71264401,2167346,100,307718,java/lang/Boolean@000000060A25B438
0,156069,156069,65,0,70516132,2129858,100,242553,java/lang/Boolean@000000060A25B9B8
0,145797,145797,112,0,71112705,2152240,100,259630,java/lang/Boolean@000000060A25E220
0,120665,120665,80,0,69262300,2107255,100,313789,java/lang/Boolean@000000060A25E3B0
